Index,Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
162,https://www.civic-coding.de/community/projekt/prisma3d-explain/1009,Prisma3D Explain,https://www.civic-coding.de/community/projekt/prisma3d-explain/1009,Civic Coding,Unbekannt,"Mit ""Prisma3D Explain"" erstellen Schüler*innen 3D-animierte Erklärvideos dank KI-gestütztem Motion Capture in nur 5 Minuten. Durch die App entwickeln Schüler*innen 3D-gestalterische Kompetenzen für umweltrelevante Berufe in den Bereichen Medien, Architektur und Ingenieurswesen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
163,https://www.civic-coding.de/community/projekt/scan-your-trash/1008,Scan Your Trash,https://www.civic-coding.de/community/projekt/scan-your-trash/1008,Civic Coding,Unbekannt,"Scan Your Trash verbindet Plastikrecycling, Machine Learning und Wissensvermittlung. Die Citizen-Science-App ermöglicht individuellen Usern und Bildungseinrichtungen, Leichtverpackungsabfall zu fotografieren, um dadurch Open Datasets für Computer-Vision-Anwendungen zu erstellen",CC-BY-NC-ND 4.0,https://www.civic-coding.de
164,https://www.civic-coding.de/community/projekt/der-into-the-job-power-coach-itjo-poc/1007,Der Into-the-job-Power-Coach (Itjo-Poc),https://www.civic-coding.de/community/projekt/der-into-the-job-power-coach-itjo-poc/1007,Civic Coding,Unbekannt,"Itjo-Poc ist ein digitaler Trainer, der fit für Bewerbungsgespräche und den Beruf macht. Er beinhaltet verschiedene Jobprofile und Schwierigkeitsgrade („zugewandter“ bis offen ablehnender, sozialen und beruflichen Hintergrund des Bewerbenden angreifender Gesprächsführender.)",CC-BY-NC-ND 4.0,https://www.civic-coding.de
165,https://www.civic-coding.de/community/projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005,SeagrassWatch: Küsten-KI für den Schutz von Seegraswiesen,https://www.civic-coding.de/community/projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005,Civic Coding,Unbekannt,Mittels Dropdown-Kameras und Tiefensonar dem Seegras in der Ostsee auf die Spur kommen. Wo sind bestehende Seegrasbestände und Potenzialflächen zur Wiederansiedlung in der Ostsee? Meeresnaturschutz trifft KI.,CC-BY-NC-ND 4.0,https://www.civic-coding.de
166,https://www.civic-coding.de/community/projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004,StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung,https://www.civic-coding.de/community/projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004,Civic Coding,Unbekannt,"Entwicklung eines digitalen Assistenten, der mithilfe von Sprachmodellen komplexe Behördeninformationen vereinfacht. Ziel ist das Überbrücken von Wissenslücken und der Abbau bürokratischer Hürden bei der Beantragung staatlicher Ansprüche durch Bürger:innen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
167,https://www.civic-coding.de/community/projekt/ki-geisternetze-open-source/1003,KI Geisternetze Open Source,https://www.civic-coding.de/community/projekt/ki-geisternetze-open-source/1003,Civic Coding,Unbekannt,"Das KI-Geisternetz-Interface ermöglicht es privatwirtschaftlichen Firmen und staatlichen Institutionen, ihre hydrografischen Daten ausschließlich hinsichtlich potenzieller Netzverdachtsstellen zu teilen, ohne Nutzungsrechte abtreten oder die Daten übertragen zu müssen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
168,https://www.civic-coding.de/community/projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002,"""DANKE"" - Digitaler Assistent für Nachhaltige Kommunale Entwicklung",https://www.civic-coding.de/community/projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002,Civic Coding,Unbekannt,"DANKE ist eine Assistenzsoftware, die Kommunen eine ganzheitliche Einschätzung und Konzeptionierung ihrer Entwicklungsvorhaben ermöglicht. Ein KI-gestützter Prozess leitet Verwaltungen durch eine Projektevaluation, die anerkannten Modellen nachhaltiger Entwicklung folgt.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
169,https://www.civic-coding.de/community/projekt/claim/1001,Claim,https://www.civic-coding.de/community/projekt/claim/1001,Civic Coding,Unbekannt,"Mit Claim findest du anonymisiert heraus, auf welche staatlichen Förderungen du Anspruch hast und wir helfen dir auch bei der Beantragung dieser. Hierzu füllst du einfach ein Formular in deiner bevorzugten Sprache aus und Claim berechnet KI-unterstützt deine Ansprüche.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
170,https://www.civic-coding.de/community/projekt/deine-ide/1000,Deine-I.de,https://www.civic-coding.de/community/projekt/deine-ide/1000,Civic Coding,Unbekannt,"Eine für Kommunen/Politik einfach nutzbare Plattform, um Ideen aus Bürgerbeteiligungsprojekten zu visualisieren, die übersichtlich, und hübsch folgende Fragen beantwortet: Was für Ideen hat es gegeben? Was ist aus ihnen geworden? Wo bleibe ich auf dem Laufenden zu „meiner“ Idee?",CC-BY-NC-ND 4.0,https://www.civic-coding.de
171,https://www.civic-coding.de/community/projekt/lokaler-ki-assistent-fur-die-zivilbevoelkerung-loki/999,Lokaler KI-Assistent für die Zivilbevölkerung (LoKI),https://www.civic-coding.de/community/projekt/lokaler-ki-assistent-fur-die-zivilbevoelkerung-loki/999,Civic Coding,Unbekannt,"Der Lokale KI-Assistent für die Zivilbevölkerung (LoKI) wird ein digitales Kommunikationssystem, welches Bürgerinnen und Bürger auf einfache und schnelle Weise bei Fragen in Bezug auf Behördenprozesse oder andere für die Zivilgesellschaft relevante Themen unterstützt.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
172,https://www.civic-coding.de/community/projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998,EcoAdvisor: Der Digitale Energieberater für nachhaltiges Wohnen,https://www.civic-coding.de/community/projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998,Civic Coding,Unbekannt,"EcoAdvisor ist eine KI-gesteuerte App, die Privathaushalten hilft, Energie effizient zu nutzen, Kosten zu sparen und ökologisch bewusster zu leben, indem sie personalisierte Einsparungstipps und Produktvorschläge bietet.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
173,https://www.civic-coding.de/community/projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997,Aufbau GPT als Hilfestellung bei der Planung von inklusiven Spielplätzen,https://www.civic-coding.de/community/projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997,Civic Coding,Unbekannt,"Unser Projekt zielt darauf ab, einen KI-basierten Ratgeber für die Planung barrierefreier Spielplätze zu entwickeln, damit Inklusion möglich ist. Dieser Ratgeber wird Expertenwissen mit KI-Analysen kombinieren, um Empfehlungen für barrierefreies Spielplatzdesign bereitzustellen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
174,https://www.civic-coding.de/community/projekt/ki-co-pilot-kicop/996,KI-Co-Pilot (KICoP),https://www.civic-coding.de/community/projekt/ki-co-pilot-kicop/996,Civic Coding,Unbekannt,"Der KI-Co-Pilot (KICoP) ist eine Anbindung von generativen KI-Lösungen wie ChatGPT an eine Block-basierte No-Code-Plattform. So können mittels generativer KI neue Blöcke erzeugt werden, was die Fähigkeiten des No-Code Konzepts multipliziert.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
175,https://www.civic-coding.de/community/projekt/futero-jobs-zum-anpacken/995,Futero - Jobs zum Anpacken,https://www.civic-coding.de/community/projekt/futero-jobs-zum-anpacken/995,Civic Coding,Unbekannt,"Mit Futero haben wir es uns zum Ziel gemacht, das Recruiting im Handwerk und der mittelständischen Industrie zu revolutionieren. Hierfür ergänzen wir unsere Jobplattform mit vielen nützlichen KI-Features. So schaffen wir ein modernes & transparentes Recruitment.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
176,https://www.civic-coding.de/community/projekt/ecoskills-navigator/994,EcoSkills Navigator,https://www.civic-coding.de/community/projekt/ecoskills-navigator/994,Civic Coding,Unbekannt,"Der 'EcoSkills Navigator' ist eine KI-gestützte Lernplattform, die individuelle Lernpfade für Nachhaltigkeitswissen in Unternehmen schafft, um den Übergang zu umweltrelevanten Zukunftsberufen zu fördern.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
177,https://www.civic-coding.de/community/projekt/femailab/992,FemAILab,https://www.civic-coding.de/community/projekt/femailab/992,Civic Coding,Unbekannt,"Mit dem FemAILab ermutigen wir Frauen, mit Hilfe von KI ihre Potenziale zu entdecken. Die Frauen erfahren, wie sie mit dem richtigen Prompting ihre persönliche Berufs-Lern-Begleitung bzw. Tutoring generieren können. Diese begleitet die Frauen in ihrer beruflichen Entwicklung.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
178,https://www.civic-coding.de/community/projekt/ai-academy/991,AI-Academy,https://www.civic-coding.de/community/projekt/ai-academy/991,Civic Coding,Unbekannt,"Die AI Akademie stellt eine interaktive Webseite dar, die einen Self-Service-Bereich für unterschiedliche Zielgruppen bietet. Dieser Guide ist darauf ausgerichtet, Nutzern zu assistieren, KI-Lösungen zu identifizieren, die den Anforderungen der EU AI-Act entsprechen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
